OP_UNIQUE_CARRIER,DEP_HOUR,MKT_CARRIER_FL_NUM,OP_CARRIER_FL_NUM,TAXI_OUT,DEP_DELAY,AIR_TIME,DISTANCE,CANCELLED,LATITUDE,LONGITUDE,ELEVATION,YEAR OF MANUFACTURE,WIND_DIR,WIND_SPD,WIND_GUST,VISIBILITY,TEMPERATURE,DEW_POINT,REL_HUMIDITY,ALTIMETER,LOWEST_CLOUD_LAYER,N_CLOUD_LAYER,LOW_LEVEL_CLOUD,MID_LEVEL_CLOUD,HIGH_LEVEL_CLOUD,CLOUD_COVER,ACTIVE_WEATHER,FL_DATE_MONTH
9E,12.512064875981284,5052.9826965699895,5053.60736119452,19.411614252323325,8.923238441697594,64.84850317769607,417.7312502970314,0.07575489183736071,38.95327126169872,-80.87935321938848,494.5457601195902,2008.7166730753445,171.64056822649565,7.596158249696488,3.394107760836786,9.262165153786665,13.295988844580203,6.569822342810976,66.446077543561,29.929958739636305,6144.662291483947,1.5474191750519535,0.5172796674976345,0.3685695399145414,0.3272184466229148,2.2580392902353355,0.13257754140077854,6.26238566990845
AA,12.629064885561876,1652.687861079334,1652.687861079334,17.287052835336922,14.63848292464077,128.86561853499464,982.5991137313129,0.0502479005047509,35.01995588674372,-90.91925854642412,598.1240282770657,2009.6253185530093,157.80011566012905,7.221359488433413,3.2365811875587336,9.479612710681007,17.47569712192161,9.2148739384913,62.587910831548136,29.906959286028187,6793.550685641965,1.5512960704241674,0.499681590418568,0.35185693025625375,0.3723257897991897,2.094347914388556,0.09819980975744648,6.640516156274275
AS,12.658704750361206,566.9083830678629,566.9083830678629,19.009529706774874,6.3642982929967635,172.0814460561506,1360.5365444492752,0.03224290651665064,43.31960224410981,-119.68585967428164,464.14547953747984,2011.8324791729794,152.24909863026934,6.321142335173401,2.1307633866030766,9.187554642109006,12.920175487134896,6.446044293374439,68.41642517423554,29.806808953532798,4819.253960098195,1.5229086246042098,0.5878467693415719,0.3193988819062927,0.18103807930297003,2.257684149506607,0.14790368408802462,6.668357421094467
B6,12.710512678209797,1173.3114219662527,1173.3114219662527,18.305695730315605,22.279486623468745,148.0819241328869,1137.5945692643,0.06384495793532073,36.10637081975588,-80.65948445026298,220.00711552809642,2009.4619359675978,169.6646697123283,8.151370363972493,3.338685906035335,9.385390306563119,16.617256846306798,9.498430724673902,65.56159933990246,29.776671138374233,6052.987529448951,1.7086970424248662,0.5979506102961986,0.3800632899761468,0.3675964143030936,2.193350509590894,0.11053693569194468,6.5898427306574145
C5,12.898483249802164,4514.575296755474,4514.468266948034,19.539712476919018,11.120535478765497,66.42953046689527,405.13880242680034,0.0010023740437879187,34.06044291184384,-92.98596820754419,1136.0117910841466,2004.1426272751253,148.3342257979425,6.590833553152202,2.8972962279082037,9.322461751516752,16.38952149828541,9.821614349775786,68.49837641783171,29.93565286204168,5123.197045634397,1.3111580058032182,0.46404642574518595,0.29873384331311,0.27689264046425743,1.8870614613558427,0.10517013980480085,6.713637562648378
DL,12.814709604458924,1663.6721169121408,1663.6721169121408,16.03363041546622,9.75531673802023,123.04731212472065,934.0740068840482,0.02354443217821338,36.917504453708816,-91.61763016471679,881.5698782501772,2007.8566309450084,169.40135482018005,7.119354541946023,3.0200249961855015,9.355196031575074,15.524165589631744,8.045568685658383,64.89033082922714,29.96669597099186,6360.507821966127,1.6235033702217794,0.5221420429557428,0.3994733747991779,0.3200476587953364,2.178161770645413,0.11658117701966486,6.6205448899180555
F9,13.307562289964007,1385.481251698516,1385.481251698516,17.713933464574758,21.11480310472138,131.65313819456873,974.2290891977702,0.0012527590526755354,35.33138254755514,-92.39488492390649,1330.039962350945,2017.9920062041401,159.77979942598446,7.187608953581631,3.042123194601868,9.540551744251559,17.700049447526627,7.713737000139196,58.24625226192607,29.950704328978507,7246.568169314694,1.6013574870581373,0.45354517555197627,0.41481569859545164,0.3721887490306031,2.0314382867028575,0.09579961157841012,6.716332929003692
G4,13.14650689777149,1382.7353289706402,1382.7353289706402,14.22439865581889,18.378201273434737,121.05175097276265,899.1090201627167,0.007932437212592855,35.462382155615494,-91.74786218249912,821.2383356915458,2007.3219136894234,149.10465157410684,6.417987265652635,2.6600636717368236,9.204799787760876,16.181375840113194,8.792438539087371,63.855422355854266,29.097044658648745,4250.542978422356,1.0038114609126283,0.38204810753448887,0.24719667492041034,0.1465688008489565,1.6185355500530598,0.10308631057658295,6.411469755925009
G7,12.992220818196177,4420.50252724688,4420.116470541779,23.55552045490444,14.486692465645238,59.03575659453483,336.31499763070605,0.003119570368030327,40.15622158142474,-78.592237231559,307.15437924498497,2004.5635168219872,173.93131021955458,7.5987798136155424,4.005034749644606,9.342363370715526,12.545541383667667,5.251329173906176,64.02491194124151,29.920622334544305,7152.535144526931,1.6038343073764019,0.5037908703206444,0.3887419049123361,0.37746801453166956,2.3708734797030484,0.1280405939030169,6.093547622808403
HA,12.202987156866769,213.32541408504645,213.32541408504645,12.351579062547016,9.86423755009369,121.78399190294476,948.4870816407479,0.00015045203999288772,23.489495441535706,-150.94043628081187,99.4009136542065,2006.7767428501088,116.04420554484155,6.8717738295515165,1.6644645958994981,9.824528606403787,22.281788874755513,16.912568763421003,73.13829975517349,29.988293189993573,2800.1326713443573,1.4555003898075582,0.7023238001449811,0.15391243691272413,0.03867985173635331,1.6567641869434984,0.0481309753395429,6.650978622132863
